primary_key,Codes,livestock,year,quantity
638,111160126,Sheep,1999,38
639,111160126,Sheep,2009,31
640,111160126,Goats,1989,- -
641,111160126,Goats,1999,- -
642,111160126,Goats,2009,4
643,111160126,Equidae,1989,- -
644,111160126,Equidae,1999,- -
645,111160126,Equidae,2009,- -
646,111160126,Poultry,1989,260
647,111160126,Poultry,1999,185
648,111160126,Poultry,2009,200
649,111160126,Rabbits,1989,29
650,111160126,Rabbits,1999,22
651,111160126,Rabbits,2009,45
652,111160127,Cattle,1989,151
653,111160127,Cattle,1999,131
654,111160127,Cattle,2009,30
655,111160127,Pigs,1989,40
656,111160127,Pigs,1999,43
657,111160127,Pigs,2009,5
658,111160127,Sheep,1989,176
659,111160127,Sheep,1999,211
660,111160127,Sheep,2009,325
661,111160127,Goats,1989,107
662,111160127,Goats,1999,21
663,111160127,Goats,2009,23
664,111160127,Equidae,1989,- -
665,111160127,Equidae,1999,- -
666,111160127,Equidae,2009,36
667,111160127,Poultry,1989,925
668,111160127,Poultry,1999,767
669,111160127,Poultry,2009,462
670,111160127,Rabbits,1989,86
671,111160127,Rabbits,1999,113
672,111160127,Rabbits,2009,110
673,111160128,Cattle,1989,186
674,111160128,Cattle,1999,204
675,111160128,Cattle,2009,154
676,111160128,Pigs,1989,31
677,111160128,Pigs,1999,19
678,111160128,Pigs,2009,15
679,111160128,Sheep,1989,108
680,111160128,Sheep,1999,92
681,111160128,Sheep,2009,94
682,111160128,Goats,1989,10
683,111160128,Goats,1999,82
684,111160128,Goats,2009,51
685,111160128,Equidae,1989,3
686,111160128,Equidae,1999,10
687,111160128,Equidae,2009,9
688,111160128,Poultry,1989,1389
689,111160128,Poultry,1999,1185
690,111160128,Poultry,2009,594
691,111160128,Rabbits,1989,122
692,111160128,Rabbits,1999,97
693,111160128,Rabbits,2009,182
694,111160129,Cattle,1989,79
695,111160129,Cattle,1999,49
696,111160129,Cattle,2009,28
697,111160129,Pigs,1989,13
698,111160129,Pigs,1999,14
699,111160129,Pigs,2009,6
700,111160129,Sheep,1989,38
701,111160129,Sheep,1999,16
702,111160129,Sheep,2009,58
703,111160129,Goats,1989,- -
704,111160129,Goats,1999,5
705,111160129,Goats,2009,9
706,111160129,Equidae,1989,- -
707,111160129,Equidae,1999,- -
708,111160129,Equidae,2009,- -
709,111160129,Poultry,1989,596
710,111160129,Poultry,1999,296
711,111160129,Poultry,2009,310
712,111160129,Rabbits,1989,106
713,111160129,Rabbits,1999,44
714,111160129,Rabbits,2009,51
715,111160130,Cattle,1989,366
716,111160130,Cattle,1999,244
717,111160130,Cattle,2009,185
718,111160130,Pigs,1989,127
719,111160130,Pigs,1999,33
720,111160130,Pigs,2009,35
721,111160130,Sheep,1989,513
722,111160130,Sheep,1999,683
723,111160130,Sheep,2009,856
724,111160130,Goats,1989,200
725,111160130,Goats,1999,225
726,111160130,Goats,2009,224
727,111160130,Equidae,1989,31
728,111160130,Equidae,1999,138
729,111160130,Equidae,2009,57
730,111160130,Poultry,1989,2796
731,111160130,Poultry,1999,1800
732,111160130,Poultry,2009,1170
733,111160130,Rabbits,1989,67
734,111160130,Rabbits,1999,321
735,111160130,Rabbits,2009,346
736,111160131,Cattle,1989,178
737,111160131,Cattle,1999,111
738,111160131,Cattle,2009,53
739,111160131,Pigs,1989,60
740,111160131,Pigs,1999,17
741,111160131,Pigs,2009,8
742,111160131,Sheep,1989,203
743,111160131,Sheep,1999,169
744,111160131,Sheep,2009,135
745,111160131,Goats,1989,45
746,111160131,Goats,1999,10
747,111160131,Goats,2009,5
748,111160131,Equidae,1989,- -
749,111160131,Equidae,1999,25
750,111160131,Equidae,2009,- -
751,111160131,Poultry,1989,1734
752,111160131,Poultry,1999,1084
753,111160131,Poultry,2009,504
754,111160131,Rabbits,1989,104
755,111160131,Rabbits,1999,106
756,111160131,Rabbits,2009,67
757,111160132,Cattle,1989,68
758,111160132,Cattle,1999,34
759,111160132,Cattle,2009,14
760,111160132,Pigs,1989,28
761,111160132,Pigs,1999,16
762,111160132,Pigs,2009,18
763,111160132,Sheep,1989,46
764,111160132,Sheep,1999,78
765,111160132,Sheep,2009,90
766,111160132,Goats,1989,- -
767,111160132,Goats,1999,14
768,111160132,Goats,2009,14
769,111160132,Equidae,1989,- -
770,111160132,Equidae,1999,- -
771,111160132,Equidae,2009,1
772,111160132,Poultry,1989,680
773,111160132,Poultry,1999,670
774,111160132,Poultry,2009,557
775,111160132,Rabbits,1989,70
776,111160132,Rabbits,1999,77
777,111160132,Rabbits,2009,103
778,111160133,Cattle,1989,247
779,111160133,Cattle,1999,121
780,111160133,Cattle,2009,47
781,111160133,Pigs,1989,67
782,111160133,Pigs,1999,10
783,111160133,Pigs,2009,2
784,111160133,Sheep,1989,199
785,111160133,Sheep,1999,192
786,111160133,Sheep,2009,168
787,111160133,Goats,1989,58
788,111160133,Goats,1999,42
789,111160133,Goats,2009,11
790,111160133,Equidae,1989,- -
791,111160133,Equidae,1999,- -
792,111160133,Equidae,2009,7
793,111160133,Poultry,1989,2177
794,111160133,Poultry,1999,1096
795,111160133,Poultry,2009,571
796,111160133,Rabbits,1989,136
797,111160133,Rabbits,1999,169
798,111160133,Rabbits,2009,144
799,111160134,Cattle,1989,9
800,111160134,Cattle,1999,- -
801,111160134,Cattle,2009,- -
802,111160134,Pigs,1989,- -
803,111160134,Pigs,1999,- -
804,111160134,Pigs,2009,- -
805,111160134,Sheep,1989,- -
806,111160134,Sheep,1999,- -
807,111160134,Sheep,2009,- -
808,111160134,Goats,1989,- -
809,111160134,Goats,1999,- -
810,111160134,Goats,2009,- -
811,111160134,Equidae,1989,- -
812,111160134,Equidae,1999,- -
813,111160134,Equidae,2009,- -
814,111160134,Poultry,1989,123
815,111160134,Poultry,1999,- -
816,111160134,Poultry,2009,- -
817,111160134,Rabbits,1989,- -
818,111160134,Rabbits,1999,- -
819,111160134,Rabbits,2009,- -
820,111160135,Cattle,1989,88
821,111160135,Cattle,1999,50
822,111160135,Cattle,2009,26
823,111160135,Pigs,1989,9
824,111160135,Pigs,1999,15
825,111160135,Pigs,2009,6
826,111160135,Sheep,1989,- -
827,111160135,Sheep,1999,23
828,111160135,Sheep,2009,80
829,111160135,Goats,1989,4
830,111160135,Goats,1999,4
831,111160135,Goats,2009,11
832,111160135,Equidae,1989,- -
833,111160135,Equidae,1999,- -
834,111160135,Equidae,2009,10
835,111160135,Poultry,1989,1115
836,111160135,Poultry,1999,727
837,111160135,Poultry,2009,563
838,111160135,Rabbits,1989,47
839,111160135,Rabbits,1999,80
840,111160135,Rabbits,2009,229
841,111160136,Cattle,1989,69
842,111160136,Cattle,1999,40
843,111160136,Cattle,2009,31
844,111160136,Pigs,1989,29
845,111160136,Pigs,1999,11
846,111160136,Pigs,2009,3
847,111160136,Sheep,1989,41
848,111160136,Sheep,1999,68
849,111160136,Sheep,2009,163
850,111160136,Goats,1989,17
851,111160136,Goats,1999,44
852,111160136,Goats,2009,93
853,111160136,Equidae,1989,- -
854,111160136,Equidae,1999,4
855,111160136,Equidae,2009,2
856,111160136,Poultry,1989,381
857,111160136,Poultry,1999,248
858,111160136,Poultry,2009,198
859,111160136,Rabbits,1989,35
860,111160136,Rabbits,1999,68
861,111160136,Rabbits,2009,36
862,111160137,Cattle,1989,185
