Catalog Number;Collectors;Collector Number;Start Date;Start Date Precision;Pais;Provincia;Distrito ou Municipio;Locality Name;Latitude1;Longitude1;Collection;Determiner;Kingdom;phylum;class;order;family;genus;Full Name;Species Author;subspecies Author;variety Author
LISC041769;F.A.Mendonça;975;19/10/1942;1;Mozambique;Cabo Delgado;Nangade;Palma, Nangade.;-11,0772228;39,6744442;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna kirkii;Oliv.;;
LISC049557;F.A.Mendonça;1032;21/10/1942;1;Mozambique;Cabo Delgado;Palma;Palma, estrada de Quionga para Palma, a 6 km de Quionga.;-10,64798;40,509588;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna kirkii;Oliv.;;
LISC049558;A.R.Torre;s.n.;1943;3;Mozambique;Zambezia;Mocuba;Mocuba;-16,8375006;36,9855556;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna kirkii;Oliv.;;
LISC049559;F.A.Mendonça;383;24/09/1942;1;Mozambique;Tete;Marávia;Marávia, entre Chicoa e Fíngoè, a 41 km de Chicoa.;-15,314848;32,171334;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna leptoclada;Oliv.;;
LISC049560;A.R.Torre;599;20/11/1934;1;Mozambique;Niassa;Lago;Maniamba, Maniamba;12,7669444;34,9808311;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna leptoclada;Oliv.;;
LISC049561;A.R.Torre;3465;23/09/1941;1;Mozambique;Zambezia;;Entre Mocuba e Nhamarroi.;-16,398292;36,924137;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna leptoclada;Oliv.;;
LISC049562;F.A.Mendonça;653;08/10/1942;1;Mozambique;Niassa;Mandimba;Amaramba, estrada de Mandimba para Vila Cabral, a 13 km de Mandimba.;-14,279657;35,564083;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna leptoclada;Oliv.;;
LISC049563;A.R.Torre;600;15/12/1934;1;Mozambique;Niassa;Cidade de Lichinga;Vila Cabral, Vila Cabral;-13,3127785;35,2405567;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna macrocalyx;Oliv.;;
LISC047818;A.R.Torre;1810;18/10/1940;1;Mozambique;Província de Maputo;;De L. Marques a Marracuene.;-25,833012;32,569031;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna natalitia;(Meisn.) Walp.;;
LISC049564;F.A.Mendonça;3014;22/11/1944;1;Mozambique;Província de Maputo;Namaacha;Maputo, Goba;-26,1997213;32,1516864;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna natalitia;(Meisn.) Walp.;;
